,nu_jed,nu_odz,nu_prec,nu_isti,kh_jed,kh_odz,kh_prec,kh_isti,cm_jed,cm_odz,cm_prec,cm_isti
tdbR00000002,0.52,0.19047619047619047,0.13333333333333333,False,0.76,0.8095238095238095,0.7727272727272727,False,0.9466666666666667,1.0,0.9130434782608695,False
tdbR00000003,0.3466666666666667,0.0,0.0,False,1.0,1.0,1.0,True,1.0,1.0,1.0,True
tdbR00000004,0.38666666666666666,0.14285714285714285,0.1,False,0.9466666666666667,1.0,0.9130434782608695,False,0.8266666666666667,0.7619047619047619,0.8,False
tdbR00000005,0.47368421052631576,0.0,0.0,False,0.75,0.7142857142857143,0.6521739130434783,False,1.0,1.0,1.0,True
tdbR00000012,0.631578947368421,0.5,0.3225806451612903,False,0.9473684210526315,0.9,1.0,True,0.9078947368421053,0.75,0.8333333333333334,False
tdbR00000017,0.7368421052631579,0.6190476190476191,0.43333333333333335,False,1.0,1.0,1.0,True,1.0,1.0,1.0,True
tdbR00000020,0.6756756756756757,0.85,0.5666666666666667,False,0.8648648648648649,0.85,0.8947368421052632,False,0.8243243243243243,0.75,0.7894736842105263,False
tdbR00000021,0.38666666666666666,0.045454545454545456,0.03333333333333333,False,0.7866666666666666,0.7272727272727273,0.8888888888888888,False,0.9466666666666667,1.0,0.9166666666666666,False
tdbR00000023,0.5131578947368421,0.47619047619047616,0.3225806451612903,False,0.7105263157894737,0.5714285714285714,0.5714285714285714,False,1.0,1.0,1.0,True
tdbR00000035,0.4533333333333333,0.14285714285714285,0.0967741935483871,False,0.8933333333333333,0.8095238095238095,1.0,True,0.8933333333333333,0.8095238095238095,1.0,True
tdbR00000039,0.39473684210526316,0.3333333333333333,0.22580645161290322,False,0.868421052631579,0.7619047619047619,1.0,True,0.9342105263157895,0.7619047619047619,0.7619047619047619,False
tdbR00000047,0.6133333333333333,0.45454545454545453,0.3448275862068966,False,0.9466666666666667,0.9090909090909091,1.0,True,0.9733333333333334,0.9545454545454546,1.0,True
tdbR00000064,0.5,0.14285714285714285,0.1,False,1.0,1.0,1.0,True,1.0,1.0,1.0,True
tdbR00000070,0.5921052631578947,0.14285714285714285,0.1,False,1.0,1.0,1.0,True,1.0,1.0,1.0,True
tdbR00000084,0.40789473684210525,0.0,0.0,False,1.0,1.0,1.0,True,1.0,1.0,1.0,True
tdbR00000085,0.3815789473684211,0.09090909090909091,0.0625,False,0.5263157894736842,0.2727272727272727,0.375,False,0.9736842105263158,0.9545454545454546,1.0,True
